pc_brand,condition,discription,price
Lenovo,New,"[<p>✍NewLenovo legion gaming<br/>
🔰Ryzen 5,1650 4 gb nvidia GeForce  graphics card<br/>
🔰3.0ghrz processor speed,plus 6cores &amp; 12 threads<br/>
🔰plus has 2gb AMD radeon<br/>
🔰256gb SSD+1000 gb hdd<br/>
🔰8 gb ram(3200 hrz)<br/>
🔰Full HD screen resolution<br/>
🔰15.6"" screen size<br/>
price 84500birr</p>]","Br 84,500"
Hp,New,"[<p>🕹🕹13th Generation Gaming laptop 🕹🕹<br/>
✅Brand New MSI KATANA ✅<br/>
🖍 15.6 screen in size<br/>
✅240Hz refreshing Rate &amp;3ms IPS Display,<br/>
✔️Intel i7-(13th generation)<br/>
✔️8GB """"Nvidia Geforce RTX 4060<br/>
Super""""(Better than RTX 3080)<br/>
Graphics<br/>
✔️16GB DDR4 Ram<br/>
✍ 1TB SSD Storage<br/>
✔️ With RGB Backlit Keyboard,<br/>
   🖍Price.....180,000Birr(fixed)</p>]","Br 180,000"
Other,New,"[<p>✅New MSI gaming laptop<br/>
✅core i5-10th genaration<br/>
✅  GTX 1650,<br/>
dedicated  4g gb graphics card<br/>
✅256gb ssd  storage  with 8gb ram<br/>
✅with keyboard light</p>, <p>✅15.6"" screen size</p>]","Br 76,500"
Lenovo,New,"[<p>✅✅LENOVO IDEAPAD 3 GAMING<br/>
              .............….........<br/>
             (ULTRA SLIM)<br/>
💻intel® Core™i5➕12th Gen<br/>
💻512GB SSD STORAGE<br/>
💻8GB RAM<br/>
💻Full HD 1080<br/>
💻Keyboard backlit<br/>
💻coolboost technology<br/>
💻15.6"" (inch)<br/>
💻3-sided Thin bezel</p>, <p>🎆Nvidia Geforce RTX 3050Ti 4GB GDDR6 dedicated graphics(VRam)</p>, <p>Price 96000Birr</p>]","Br 96,000"
Hp,New,"[<p>GAMING LAPTOP</p>, <p>✨ DELL G5 15</p>, <p>✨ 15.6"" FHD Display<br/>
1920 x 1080 resolution showcases your games and HD movies</p>, <p>✨  processor features machine intelligence that anticipates your needs.</p>, <p>✨ 8GB RAM</p>, <p>✨ 128 GB solid state drive (SSD)    </p>, <p>        +1000 GB HDD</p>, <p>?NVIDIA GeForce GTX 1060</p>, <p>graphics  6GB GDDR6 dedicated video memory for a fast, advanced GPU to fuel your games.</p>]","Br 63,500"
Asus,New,"[<p>❇️ASUS GOR STRIX ❇️<br/>
🔱GAMING LAPTOP<br/>
⚜️Intel core i7 10850<br/>
🔰Total Cores 6; Total Threads 12<br/>
❇️Base speed @2.60Ghz<br/>
❇️Up to 5.00Ghz processor speed<br/>
💠512GB ssd storage<br/>
💠16GB RAM 3200MHz speed<br/>
💻15"" inch screen<br/>
🖥️FullHD 144Hz Refresh rate<br/>
🔆RGB keyboard Backlight<br/>
🔋BEST BATTERY LIFE🔋</p>, <p>✴️Nividia Geforce RTX 2070 8 GB GPU GRAPHICS ✴️<br/>
     <br/>
TEXT: @eb8naa</p>, <p>Address: Bole Medanialem, Morning star mall, 1st floor, shop no. FF9</p>]","Br 122,000"
Other,New,"[<p>New Arrival 😍<br/>
#GAMING_LAPTOP</p>, <p>⚜️ LENEVO IdeaPad gaming🔥</p>, <p>✨AMD Ryzen 5 5600H with Radeon Graphics,6 Core(s),12 Logical Processor (s)<br/>
💎Storage : 512GB SSD<br/>
💎Ram : 8GB DDR4<br/>
✨Graphics: Nvidia GeForce GTX 1650 4GB Graphics<br/>
✨Battery: 4HR plus<br/>
✨Inch : 15.6 Thin Bezel infinity Screen<br/>
✨IPS Level Thin Bezel 😍<br/>
😍Immersive Gaming</p>]","Br 75,000"
Other,New,"[<p>❇️ALIENWARE ❇️<br/>
🔱GAMING LAPTOP<br/>
⚜️Intel core i9-10980HK<br/>
🔰Total Cores 8; Total Threads 16<br/>
❇️Base speed @3.10Ghz<br/>
❇️Up to 5.30Ghz processor speed<br/>
💠1.5TB ssd storage<br/>
💠32GB RAM 2933MHz speed<br/>
💻15"" inch screen<br/>
🖥️FullHD 300.185Hz Refresh rate<br/>
🔆RGB keyboard Backlight<br/>
🔋BEST BATTERY LIFE🔋</p>, <p>✴️Nividia Geforce RTX 3080 8 GB GPU  GRAPHICS ✴️</p>, <p>#PRICE</p>]","Br 280,000"
Acer,New,"[<p>New Arival</p>, <p>Acer Nitro</p>, <p>AMD Ryzen 5 Gamming</p>, <p>Storage 256 gb ssd upgrade to 512 gb</p>, <p>Installed Ram 8gb</p>, <p>Graphicx Rx 560x series 4gb dedicated + 1gb internal dedicated (5Gb dedicated Graphics)</p>, <p>Screen Size 15.6 inch</p>, <p>Best Battery Life</p>, <p>It has 4cores &amp; 8 logical processors</p>, <p>Price 62500 etb</p>, <p>Contact</p>]","Br 62,000"
Dell,New,"[<p>BRAND NEW<br/>
✅Dell GAMIMG G7 Gaming Laptop</p>, <p>RTX 2070 8GB Graphics card</p>, <p>intel® Core™i7-10TH GEN</p>, <p>1TB  SSD STORAGE</p>, <p>16GB DDR4 RAM</p>, <p>15.6 inch screen size</p>, <p>keyboard backlight.</p>, <p>🎆Nvidia Geforce RTX 2070 8GB dedicated graphics(VRam)</p>, <p>PRICE   .....with a big discount<br/>
ዘ</p>]","Br 127,000"
